wordText,phoneticScript,syllable,weekNumber,dayNumber,partOfSpeech,definition,example1,example2,synonym1,synonym2,synonym3,synonym4,telugu,tamil,hindi,malayalam
hostile,/ˈhɒs tl/,hos-tl,6,3,ADJECTIVE,unfriendly and not liking something.,The president had a hostile reception in Ohio this morning.,,confrontational,militant,warlike,,"ప్రతికూలమైన, విరుద్ధమైన, అహితమైన, శత్రువైన.",,"प्रतिरोधी , विपरीत , विरोधी",
inflation,ɪnˈfleɪ ʃən,in-fley-shuh n,6,4,NOUN,The action of inflating something or the condition of being inflated.,the gross inflation of salaries,,colouring,exaggeration,overestimation.,,"ద్రవ్యోల్బణం,గాలితో నిండడం,వాపు, ఉబ్బు, పొంగు.",,"महगाई,स्फीति, मुद्रास्फीति",
influence,ˈɪn flu əns,in-floo-uh ns,6,4,NOUN,"The capacity to have an effect on the character, development, or behaviour of someone or something, or the effect itself.",the influence of television violence.,,effect,impact,power,,"పలుకుబడి, ప్రాబల్యం, మాట చెల్లుబడి.",,"असर,प्रभावित होना,प्रभाव",
leaps and bounds,,,6,1,NOUN,With startlingly rapid progress.,The company is growing by leaps and bounds this year.,,exponentially,quickly,speedily,,అదుపుచేయటం.,,छलांग और सीमा,
massacre,/ˈmæs ə kər/,mas-uh-ker,6,3,NOUN,an act of killing a lot of people.,reports of massacres by government troops’,,indiscriminate killing.,mass slaughter,slaughter,,"ఊచకోత, సామూహిక వధ, నరమేధం,జనసంహారం.",,"कत्ल,  नरहत्या ,  पराजय , वध",
new-age,,,6,3,NOUN,"A broad movement characterized by alternative approaches to traditional Western culture, with an interest in spirituality, mysticism, holism, and environmentalism.",Astrology and alternative medicine are part of the New Age movement.,,age of aquarius,modernistic.,,,నూతన-శకం.,,,
participate,pɑrˈtɪs əˌpeɪt,pahr-tis-uh-peyt,6,4,VERB,.to take part in or become involved in an activity.,"She never participates in any of our discussions, does she?",,engage,play a role,take part,,"పాల్గొను, భాగం పుచ్చు కొను.",,"भाग लेना, बांटना",
premise,/ˈprɛm ɪs/,prem-is,6,2,NOUN,An idea or theory on which a statement or  action is based.,The conclusions you have drawn are based on a false premise.,,assumption,basis,,,"పూర్వసిద్ధాంతము, ముందుగా చెప్పఁబడినది.",,,
proliferate,/prəˈlɪf əˌreɪt/,pruh-lif-uh-reyt,6,4,VERB,Increase rapidly in number,the science fiction magazines which proliferated in the 1920s.,,breed,generate,propagate multiply,,"విస్తరించు, వేగంగా అభివృద్ధిచెందు.",,,
ransack,ˈræn sæk,ran-sak,6,4,VERB,to search a place or container in a violent and careless way.,They ransacked the house for the missing    Letter.,,"to search narrowly,plunder, pillage, steal from, raid.rob, loot, rifle.",,,,"గాలించు, దోచుకొను, వెదుకు, కొల్లగొట్టు,గందరగోళము చేసి వెతుకుట.",,"ढूंढना,लूटना,लूट खसोट करना.",
rebel,/rɛb əl/,reb-uh l,6,5,NOUN,a person who is opposed to the political system in their country and tries to change it using force.,The rebels took over the capital and set up a new government.,,agitator,revolutionary,terrorist,,"తిరుగఁబడువాఁడు, ఎదిరింౘువాఁడు.",,"बागी , विद्रोही , राज द्रोही",
rehabilitation,/riːəbɪlɪˈteɪʃ(ə)n/,re-ha-bil-i-ta-tion,6,3,NOUN,"The action of restoring someone to health or normal life through training and therapy after imprisonment, addiction, or illness.",she underwent rehabilitation and was walking within three weeks...,The bridge requires immediate rehabilitation to remain open.,eestablishment,recovery,restoration,,"పునరుద్ధరణ,పునరావాసం, ఆశ్రయణం.",,"पुनः प्रतिष्ठा, स्वास्थ्यलाभ, बहाली",புனர்வாழ்வு
soare,soʊr,,6,4,VERB,Fly or rise high in the air.,All night long fireworks soared into the sky.,,fly up,wing,wing its way,,,,,
soot,sʊt,soo t,6,3,NOUN,"a black powder produced when coal, wood, etc., is burned.",It can be dangerous to let too much soot accumulate inside a chimney.,,fuliginosityst,grimes,smoke,,"నుసి, ధూళి, పొగబొగ్గు.",,"कज्जली, काजल",
sophisticated,/səˈfɪs tɪˌkeɪ tɪd/,suh-fis-ti-key-tid,6,5,ADJECTIVE,having a good understanding of the way people behave and/or a good knowledge of culture and fashion.,"She was slim, svelte, and sophisticated.",,enlightened,experienced,knowledgeable,,"కుతర్కమైన,కృత్రిమ, ఆడంబరపూర్వక, పరిష్కృత, అధునాతన.",,"कृत्रिम , गूढ़ , जटिल",
thrive,/θraɪv/,thrahyv,6,2,VERB,to grow strongly and vigorously  to do well; prosper,His business thrived in the years before the war.,,,,,,"అభివృద్ధిచెందు, గెలుపొందు, పెరుగు.",,,
vent,/vɛnt/,vent,6,3,NOUN,a cut in the bottom of a piece of clothing to allow the person wearing it to move more easily.,The skirt is long and straight with two side vents.,,cavity,hole,outlet,,"బిలం,చిల్లి, కన్నం, బెజ్జం.",,"छिद्र,द्वार ,निकास",
vow,vaʊ,vou,6,2,NOUN,A serious promice or decision.,She made a vow never to lend money to anyone again.,,pledge,oath,promise,,"ప్రార్థన చేసుకోబడ్డ, మొక్కుకోబడ్డ,సంకల్పము",,"व्रत, मन्नत करना,प्रतिज्ञा करना.",
accused,/əˈkyuzd/,uh-kyoozd,7,1,NOUN,A person or group of people who are charged with or on trial for a crime.,two of the accused were sentenced to thirteen years in prison.,,appellant,disputant,litigator,,"నేరము మోపఁబడినవాఁడు, ముద్దాయి,నేరారోపిత.",,"दोषी,मुलज़िम",
anomaly,əˈnɒm ə li,uh-nom-uh-lee,7,4,NOUN,"Something that deviates from what is standard, normal, or expected.",Statistical anomalies can make it difficult to compare economic data from one year to the next.,,abnormality,inconsistency,variation,,"నియమవిరుద్ధం, అసాధారణం, విపరీతం, క్రమంలేని నడక, వ్యత్యాసం, తేడా, వికృతి, విరూపం",,"अनियम,अवैधता",
ardent,ˈɑr dnt/,ahr-dnt,7,5,ADJECTIVE,showing strong feelings,an ardent supporter of the conservative cause,,fierce,intense,passionate,,"ప్రచండమైన, ఉగ్రమైన, తీక్ష్ణమైన, వేగమైన.",,"प्रचण्ड, उत्कट",
bleak,/blik/,bleek,7,1,ADJECTIVE,(of an area of land) lacking vegetation and exposed to the elements.,"It was a bleak, unpleasant day in December.",,desert,exposed,stark,,"వెలసిపోయిన, మృగ్య, అతిస్వల్ప, నిస్తేజ, నిరాధారమైన, చల్లదనం,అతిశీతలమైన.",,"सूना , उजाड़ , ज़ाहिर",
bureaucracy,/byʊˈrɒk rə si/,byoo-rok-ruh-see,7,2,NOUN,.A system of government in which most of the important decisions are taken by state officials rather than by elected representatives.,The president wants to add more bureaucracy to our daily lives.,,administration,government,the establishment,,"ఉద్యోగిస్వామ్యం,ఒకవిధమైన రాజ్యపరిపాలనా పద్ధతి, అంతర్విభాగరాజ్యతంత్రము",,"अधिकारी-तन्त्र,अधिकारीवर्ग",
condemn,/kənˈdɛm/,kuh n-dem,7,4,VERB,Officially declare (something) to be unfit for use.,The film was condemned for its dirty scenes.,,castigate,censure,depreciate,,"ఖండించు, తోసిపుచ్చు, దండించు.",,,"കുറ്റക്കാരനെന്നു വിധിക്കുക,  തെറ്റാണെന്നു പറയുക"
confined,kənˈfaɪnd,kuh n-fahynd,7,4,ADJECTIVE,limited or restricted.,Please confine your use of the phone to    business calls.,,"cramped, constricted, restricted, limited, confining, small, narrow, compact,",,,,"నిర్బంధమైన,ప్రసవించిన,మట్టుపడ్డ.",,"सीमित,परिरुद्ध.",
consecutive,,,7,5,ADJECTIVE,Following each other continuously.,This is the fifth consecutive weekend that I've spent working.,,continuous,in succession,unbroken.,,"వరుసగానున్న, ఒకటివెంబడి ఒకటి వచ్చెడు, నడుమను తెంపు లేకుండియున్న.",,"क्रमागत , क्रमानुगत , तर्कसंगत",
consensus,/kənˈsɛn səs/,kuh n-sen-suh s,7,5,NOUN,a generally accepted opinion; wide agreement.,We tried to get a consensus of opinion and it proved to be easier than I thought.’,,agreement,common consent,unanimity,,"అంగీకారం, ఏకాభిప్రాయం,సమ్మతము,  అనుకూలత,బహుజన సమ్మతి.",,"अनुकूलता ,  ऐक्य ,  मतैक्य",
detain,/dɪˈteɪn/,dih-teyn,7,1,VERB,Keep (someone) from proceeding by holding them back or making claims on their attention.,customs officers may detain goods for up to two    days.,Several of the injured were detained overnight in hospital.,delay,hold up,,,"నిలిపివేయు, నిరోధించు.",,,"തടഞ്ഞുനിറുത്തുക, നിറുത്തിവയ്‌ക്കുക"
determination,/dɪˌtɜr məˈneɪ ʃən/,dih-tur-muh-ney-shuh n,7,2,NOUN,"the ability to continue trying to do something, although it is very difficult.",You can't help but admire her determination to succeed.,,resoluteness,resolution,resolve,,"సంకల్పం, పూనిక, నిష్కర్ష, (దృఢ) నిశ్చయం, (న్యాయ) నిర్ధారణ.",,"निश्चय, संकल्प , दृढ़ संकल्प",
enormous,/ɪˈnɔr məs/,ih-nawr-muh s,7,1,ADJECTIVE,"Very large in size, quantity, or extent.",enormous sums of money’,,huge,vast,wide,,"అపరిమితమైన, విస్తారమైన.అపారమైన, బ్రహ్మాండమైన.",,"बहुत, बहुत अधिक, अत्यंत",
enthuse,/ɛnˈθuz/,en-thooz,7,5,VERB,to express excitement about something or great interest in it.,they both enthused over my new look’,,be effusive,be enthusiastic,go into raptures,gush,"ఉత్సాహం,ఉత్తేజితుడవ్వు.",,"जोश में आना,उत्साह दिखाना",
flay,/fleɪ/,fley,7,2,VERB,to whip a person or animal so hard that some of their skin comes off:,the captured general was flayed alive,,skin,strip the skin off.,,,"తీవ్రంగా విమర్శించు,తోలును తీసివేయు, చర్మమును ఒలుచు.",,"चमड़ा उतारना, लूटना",
genre,ˈʒɒ̃rə,zhahn-ruh,7,3,NOUN,"A style or category of art, music, or literature.",What genre does the book fall into - comedy or   Tragedy?,,"category, class, classification, categorization, group, grouping.",,,,కళా/ సాహిత్య ప్రక్రియ.,,"शैली,विधा.",
hunger strike,/ˈhʌŋ·ɡər ˌstrɑɪk/,huhng-ger-strahyk,7,3,NOUN,A prolonged refusal to eat.,One hundred students began a hunger strike.,Political prisoners who had gone on hunger strike.,fasting,voluntry fast,,,"నిరాహారదీక్ష, నిరశనదీక్ష.",,"भूख हड़ताल, अनशन",
infringe,ɪnˈfrɪndʒ,in-frinj,7,1,VERB,"Actively break the terms of (a law, agreement, etc.)",making an unauthorized copy would infringe copyright,,break,contravene,transgress,,"అతిక్రమించుట,  ఉల్లంఘనముచేసుట,   తప్పుట ,  మీరుట .",,"अतिक्रमण करना,तोड़ना,उल्लंघन करना.",
inhibit,/ɪnˈhɪb ɪt/,in-hib-it,7,3,VERB,to prevent someone from doing something by making them feel nervous or embarrassed :,Some workers were inhibited (from speaking) by the presence of their managers.,,discourage,obstruct,put a brake on,,"నిరోధించు, ఆటంకపరచు, అడ్డుపడు, ఆపు  అణచుట.",,"बाधा डालना, अटकाना, रोकना",
leisurely,/ˈlɛʒəli/,lee-zher-lee,7,1,ADJECTIVE,"used to describe an action that is done in a relaxed way, without hurrying.",We enjoyed a leisurely picnic lunch on the lawn.,,comfortable,effortless,relaxed,restful,"సావకాశముగా చేసెడు, మెల్లగానైన.",,"धीरे से, आराम से",
massive,/ˈmæs ɪv/,mas-iv,7,3,ADJECTIVE,"very large in size, amount, or number.",They have a massive house,,tremendous,vast,very large,,"స్థూలమైన, లావాటి, మిక్కిలిపెద్ద, బరువైన.",,"भारी,भीमकाय, बड़ा",
nominal,ˈnɒm ə nl,nom-uh-nl,7,3,ADJECTIVE,in name or thought but not in fact or not as things really are.,She's the nominal head of our college - the real work is done by her deputy.,,formal,in name only,official,,"నామమాత్ర, స్వల్పమైన, చిన్న మొత్తం,పేరుకువుండే, పేరు మాత్రానికి వుండే.",,"नामिक,जातिवाचक,संज्ञात्मक",
out-and-out,"ˈaʊt nˈaʊt, -ndˈaʊt","out-n-out, -nd-out",7,4,ADJECTIVE,complete; in all ways.,He’s an out-and-out fraud.,,"utter, downright, thoroughgoing, perfect, consummate, surpassing.",,,,"పూర్తిగా, బాహాటంగా",,पक्का.,
passersby,/ˈpæs ərˈbaɪ/,pas-er-bahy,7,4,NOUN,someone who is going past a particular place.,A passer-by saw smoke and called the fire department.,,bystander,eyewitness,witness,,బాటసారులను.,,"राहगीर , राही ,  राह-चलता",
plight,/plʌɪt/,plahyt,7,2,NOUN,"an unpleasant condition, especially a serious, sad, or difficult one.",Few of us can be unmoved by the plight of the refugees.,,difficult situation,issue,trouble,,"దుర్దశ, దురవస్థ; కుదవ, తాకట్టు.",,"गंभीर स्थिति, अवस्था",
plot,plɒt,plot,7,3,VERB,Secretly make plans to carry out (an illegal or harmful action).,the two men are serving sentences for plotting a bomb campaign’,,arrange,organize,plan,,"కుట్ర, పన్నాగం, చిన్న భూఖండం, ఇంటిస్థలం; కథాంశం,కల్పించు.",,"उपाय करना,चालबाज़ी करना",
plummet,/ˈplʌm ɪt/,pluhm-it,7,5,VERB,.Fall or drop straight down at high speed.,House prices have plummeted in recent months.,,descend rapidly.,fall headlong,plunge,,"ఆదాయ వనరుగా,బరువు; లంబసూత్రం, వడంబం గుండు.",,"गिर जाना , अचानक से गिरना , तेज़ी से गिरना",
prudent,/ˈpruːd(ə)nt/,prood-nt,7,4,ADJECTIVE,careful in the way that you make decisions or spend money so that you avoid unnecessary risks.,His decision was prudent and timely.,,careful,wise,,,"జాగ్రతగల,వివేకముగల, దూరదర్శియైన.",,"वुद्धीमान, बुद्धिमत्तापूर्ण, सावधानी",
puddle,/ˈpʌd l/,puhd-l,7,5,NOUN,"A small pool of liquid, especially of rainwater on the ground.",You have to step around the puddles in the street after a rain shower.,,pool,spill,splash,,"బురదనీటి గుంట, గందరగోళం,చిన్నపల్లములో నిలుౘు బురదనీరు.",,"डबरा,छोटा सा तालाब  ,गारा बनाना",
sapling,[sap-ling],sap-ling,7,4,NOUN,"A young tree, especially one with a slender trunk.","Now, as a mature garden, the trees, mere saplings when planted, are fully grown.’",,shoot,a young tree (full of sap),,,"లేఁతచెట్టు, బాలవృక్షము,చిన్న మొక్క,అంటు.",,"अंकुर , किशोर , जवान",
scarcity,/ˈskɛər sɪ ti/,skair-si-tee,7,2,NOUN,a situation in which something is not easy to find or get.,the scarcity of skilled workers,,poverty,shortage,undersupply,,"దుర్భిక్షం, కొరత, ఎద్దడి, కరువు.",,"अनोखापन , अप्राप्यता ,  अभाव",
scorching,/ˈskɔr tʃɪŋ/,skawr-ching,7,5,ADJECTIVE,Very hot.,I don’t want to be outside in this scorching heat.,,burning,extremely hot,red-hot,,"కాల్చే, దహించే.",,"जलानेवाला, चिलचिलाती",
thrust,/θrʌst/,thruhst,7,2,NOUN,Force (someone) to accept or deal with something.,They thrust a microphone in front of me and fired questions at me.,She thrust the money into his hand.,,,,,"ఒత్తిడి, తోసుట, అణఁౘు,",,"ज़ोर,ठेलना,जोर डालना.",
upheaval,/ʌpˈhi vəl/,uhp-hee-vuh l,7,2,NOUN,A violent or sudden change or disruption to something.,major upheavals in the financial markets.,the first upheaval produced a hill which was called Roof Mountain.,disaster,explosion,,,"తిరుగుబాటు, ఉపద్రవం, విప్లవం.",,,
wane,weɪn,weyn,7,1,VERB,to become weaker in strength or influence.,By the late 70s the band's popularity was beginning to wane.,,decrease,diminish,disappear,,"క్షయించుట, క్షీణమవుట,తగ్గు, తక్కువగు.",,"ढलना, क्षीण होना, उतरना",
acquit,/əˈkwɪt/,uh-kwit,8,1,VERB,to decide officially in a law court that someone is notguilty of a particular crime,Five months ago he was acquitted on a shoplifting charge.,,absolve,exonerate,find innocent,,"వదలివేయడంవదిలిపెట్టు, నిర్దోషి అని విడుదల చేయు",,"छोड़ देना,दोषमुक्त करना",
anonymity,æn əˈnɪm ɪ ti,an-uh-nim-i-tee,8,5,NOUN,the situation in which someone's name is not given or known.,The police have reassured witnesses that they will be guaranteed anonymity.,,anonymity,darkness,uncertainty,,"అనభిజ్ఞత, రహస్య గోపనం",,"अनामिकता, गुमनामी, अज्ञात वास",
arena,əˈri nə,uh-ree-nuh,8,5,NOUN,"A level area surrounded by seating, in which sports, entertainments, and other public events are held.",an Olympic/a sports arena,,coliseum,stadium,theatre,,"రంగం, క్షేత్రం,మైదానం.",,"कार्यक्षेत्र , रणभूमि, रंगभूमि",
bracing,/ˈbreɪ sɪŋ/,brey-sing,8,1,ADJECTIVE,cold and perhaps windy.,We enjoyed a bracing walk on the beach.,,beneficial,health-giving,strengthening,,"బిగువు/ బింకం; పుష్టికరమైన.సత్తువనుకలిగింౘునట్టి, బలకరమైన.",,"जोड़नेवाला , स्फूर्तिदायक , ताज़गी देने वाला",
consequence,/ˈkɒn sɪˌkwɛns/,kon-si-kwens,8,1,NOUN,"a result of a particular action or situation, often one that is bad or not convenient.",Not making a will can have serious consequences for your children and other family members.,,reaction,effect,result,,"ఫలితం, ఫలం, పర్యవసానం, పరిణామం, పెద్దరికం, గౌరవం.",,"परिणाम,फल , प्रभाव",
consider,kənˈsɪd ər,kuh n-sid-er,8,0,VERB,"Think carefully about (something), typically before making a decision.",I may not have time to give a considered reply to suggestions.,,contemplate,give thought to,think about,,"పరిశీలించు, ఆలోచించు లెక్కలోకి తీసుకొను,భావించు",,"ध्यान करना,ग़ौर करना,मानना,समझना .",
conspire,/kənˈspaɪər/,kuh n-spahyuh r,8,3,VERB,Make secret plans jointly to commit an unlawful or harmful act.,"As girls, the sisters used to conspire with each other against their brother.",,collaborate,lay plans,plot,,"కుట్రపన్ను, గూడుపుఠాణీ చేయు.",,"मिल जाना , सम्मिलित होकर काम करना",
consumption,/kənˈsʌmp ʃən/,kuh n-suhmp-shuh n,8,5,NOUN,"the act of using, eating, or drinking something.","These products are not for national consumption, but for export.",,expenditure,use,utilization,,"క్షయ; వినియోగం, వాడకం.",,"उपयोग, खर्च",
diabetes,"daɪ əˈbi tɪs, -tiz","dahy-uh-bee-tis, -teez",8,1,NOUN,a disease in which the body cannot control the level of sugar in the blood.,"Rarely, diabetes can be caused by a disease of the pancreas called pancreatitis.",,,,,,"చక్కెర వ్యాధి, మధుమేహం",,"मधुमेह रोग ,मधुमेह",
diagnostic,,dahy-ug-nos-tik,8,0,ADJECTIVE,Concerned with the diagnosis of illness or other problems.,Jaundice is diagnostic of liver failure.,,"characteristic,.",distinguishing,symptomatic.,,"రోగనిర్ధారణ చేసే,రోగ నిర్ణయకారి",,"इंतियाज़ी, नैदानिक, निदान-शास्र का",
disability,ˌdɪs əˈbɪl ɪ ti,dis-uh-bil-i-tee,8,4,NOUN,"A physical or mental condition that limits a person's movements, senses, or activities.",children with severe physical disabilities’,,complaint,disease.,disorder,,"బలహీనత, అశక్తత, అనర్హత, (అంగ) వైకల్యం, అయోగ్యత.",,"अयोग्यता,असमर्थता",
epidemic,/ɛpɪˈdɛmɪk/,ep-i-dem-ik,8,1,NOUN,the appearance of a particular disease in a large number of people at the same time.,‘A current topic of conversation is the world-wide SARS epidemic.’,,infestation,outbreak,plague,,"తెవులు, పోలేరు, అంటువ్యాధి.",,"महामारी , जन-मरक",
era,ˈɪərə,eer-uh,8,5,NOUN,A long and distinct period of history.,his death marked the end of an era’,,epoch,period,span,,"శకము, కాలము, యుగం",,"कल्प,युग,ज़माना",
flee,fli,flee,8,0,VERB,Run away from a place or situation of danger.,"to escape the fighting, his family fled from their village.",,escape from,leave abruptly,run away from,,"పారిపోవు,తప్పించుకొని పోవు, వలసపోవు.",,"फरार होना,भाग जाना,",
geriatric,/ˌdʒɛrɪˈatrɪk/,jer-ee-a-trik,8,2,ADJECTIVE,relating to the medical care and treatment of old people.,geriatric medicine/patients,,decaying,disintegrating,tumbledown,unsafe,"వృద్ధ వైద్యశాస్త్రం,వృద్ధులు",,बूढ़ा,
hurdle,,hur-dl,8,4,NOUN,a frame or fence for jumping over in a race,He fell at the last hurdle.,,difficulty,hindrance.,obstruction,,"అడ్డంకి, ఆటంకం, సమస్య.",,"बाधा,अड़चन , अवरोध",
innovative,ˈɪn əˌveɪ tɪv,in-uh-vey-tiv,8,1,ADJECTIVE,using new methods or ideas.,She was an imaginative and innovative manager.,,experimental,inventive,ultra-modern,,"వినూత్న ,నవప్రవర్తక .",,"उन्नतिशील,प्रगत, नवीन",
inordinate,/ɪnˈɔr dn ɪt/,in-awr-dn-it,8,3,ADJECTIVE,Unusually or disproportionately large; excessive.,Margot has always spent an inordinate amount of time on her appearance.,,excessive,out of all proportion,unwarranted,,"మితిమీరిన, ఎక్కువ, అమిత మైన,అదుపులేని, అత్యధిక.",,"अतिरिक्त, अत्यंत, अत्यधिक",
lewd,lud,lood,8,1,ADJECTIVE,"of behaviour, speech, dress, etc.) sexual in an obvious and rude way.",Ignore him - he's being lewd.,,dirty.,indecent,vulgar,,"అశ్లీల, కొంటె, దుష్ట ,పోకిరి .",,"ठरकी,कामुक,अश्लीलता",
measure,ˈmɛʒ ər,mezh-er,8,3,VERB,To discover the exact size or amount of something,This machine measures your heart rate.,,"calculate,compute",,,,"కొలుచుట, కొలత,ప్రమాణము, కొలిచేసాధనము",,"मात्रा,आकलन, मूल्यांकन करना",
nuisance,"ˈnu səns, ˈnyu-","noo-suh ns, nyoo-",8,3,NOUN,A person or thing causing inconvenience or annoyance.,it's a nuisance having all those people clomping through the house.,,annoyance,inconvenience,irritant.,,"బాధ, ఉపద్రవము, తొందర, సంకట హేతువు, అసహ్యమును పుట్టింౘునది, రోఁత.",,"परेशानी, रुकावट,हानिकारक वस्तु",
passion,ˈpæʃ ən,pash-uh n,8,4,NOUN,"an extreme interest in or wish for doing something, such as a hobby, activity, etc.",Politics and philosophy were his lifelong passions.,,"excitement,affection,anger,devotion.",,,,"మోహం, కామం, ఉద్రేకం",,"मनोभाव, इश्क,जज़्बा",
precedence,/ˈprɛs ɪ dəns/,pres-i-duh ns,8,4,NOUN,"The condition of being considered more important than someone or something else; priority in importance, order, or rank.",His desire for power soon took precedence over any other consideration.,,considered more important than.,take priority over,,,"ప్రాధాన్యము, అగ్రగామిత్వము",,,
predict,/prɪˈdɪkt/,pri-dikt,8,3,VERB,to say that an event or action will happen in the future,Astronomers can predict the exact time of an eclipse.,,anticipate,forecast,tell in advance,,"ఊహించు; జోస్యం చెప్పు,సూచించుట.",,"अनुराग , अभिरुचि , भविष्यवाणी करना",
prevail,/prɪˈveɪl/,pri-veyl,8,0,VERB,Be widespread or current in a particular  area or at a particular time.,a friendly atmosphere prevailed among the crowds.,After racing a wonderful atmosphere prevailed which led to an almighty sing song.,,,,,"వ్యాపించు, అమలగు.",,,
prospective,prəˈspɛk tɪv,prəˈspɛk tɪv,8,5,ADJECTIVE,"the amount that something is expected to earn, cost, produce, etc.",she showed a prospective buyer around the house’,,anticipated,destined,expected,,"భావి, రాబోయే ,భావిసూచకమైన",,"दूरदर्शी, प्रत्याशित, अग्र चिन्तक",
rejuvenate,rɪˈdʒu vəˌneɪt,ri-joo-vuh-neyt,8,3,VERB,"to make an organization or system more effective by introducing new methods, ideas, or people.","He has decided to rejuvenate the team by bringing in a lot of new, young players.",,make someone feel young again,restore,revive,,"పునర్‌ యౌవనీకరించు, పున రుజ్జీవింపజేయు.",,"फिर जवान या युवा करना,फिर से युवा करना",
relevant,/ˈrɛl ə vənt/,rel-uh-vuh nt,8,3,ADJECTIVE,connected with what is happening or being discussed.,Education should be relevant to the child's needs.,,applicable,material,to the purpose,,"పొంతనగల, సందర్భశుద్ధిగల,సంబంధించిన, సాంగత్యముగల.",,"अनुरूप,उपयुक्त",
reliable,rɪˈlaɪ ə bəl,ri-lahy-uh-buh l,8,5,ADJECTIVE,Consistently good in quality or    performance; able to be trusted.,My car is old but it’s reliable.,,"trustworthy,dependable, good, true, faithful.",,,,"నమ్మదగ్గ, విశ్వసనీయ.",,"विश्वास योग्य,भरोसेमंद, अच्छा.",
scream,/skrim/,skreem,8,4,VERB,"Give a long, loud, piercing cry or cries expressing extreme emotion or pain.",A spider landed on her pillow and she screamed,,caterwaul,cry out,shout,,"గొంతుచించుకొను, (కెవ్వున) అరుచు,కీచుమను, గీపెట్టు.",,"चिल्लाना, शोर मचाना",
screen,skrin,skreen,8,4,VERB,"to test or examine someone or something to discover if there is anything wrong with him, her, or it.",her hair swung across to screen her face,,mask,shelter,veil,,"రోపిత సంకేతములు, దాచుట ,మరుగుకట్టుట",,"दिखाया जाना, आड़ देना, बचाना",
sensitise,/sensiˌtīz/,sen-si-tahyz,8,0,VERB,make sensitive ; aware,My tongue became sensitized to good wine,he wanted to sensitise the people,alter,change,,,"సున్నితం చేయు, అవగాహన",,,
tiff,/tɪf/,tif,8,5,NOUN,"A petty quarrel, especially one between friends or lovers.",The tiff between minister and revenue officials took a turn for the worse.,Joanna had a tiff with her boyfriend,argument,quarrel,,,"చిన్న తగవు, చిరాకు",,,
upfront,ˈʌpˈfrʌnt,uhp-fruhnt,8,0,ADJECTIVE,speaking or behaving in a way that makes your intentions and beliefs clear.,She’s very upfront about her feelings.,,open,truthful.,frank,,"ముందస్తు చెల్లింపు, బయానా,నిజాయితి.",,"पहले दिया हुआ,पहले.",
weird,/wɪəd/,weerd,8,0,ADJECTIVE,Strange and different from anything natural or ordinary.,She is a little weird in the way she dresses.,I heard some weird noises coming from outside.,abnormal,mysterious,unnatural,,"వింతైన, అసాధారణ.",,"अजीब, अतिप्राकृतिक",
